id,mappingName,counterpartyId,sourceType,matchingField,matchOperator,matchValue,caseSensitive,internalType,priority,status,effectiveDate,secondaryField,secondaryOperator,secondaryValue
TXMP-000050,Equity Sell,SYSTEM,secu,type,equals,müük,,EQ_SELL,2,Active,2024-06-01,,,
TXMP-000051,Stock Split In,SYSTEM,secu,type,equals,split+,,SPLIT_IN,2,Active,2024-06-01,,,
TXMP-000052,Stock Split Out,SYSTEM,secu,type,equals,split-,,SPLIT_OUT,2,Active,2024-06-01,,,
TXMP-000053,Dividend Income,SYSTEM,secu,type,equals,dividend,,DIV_INCOME,2,Active,2024-06-01,,,
TXMP-000054,LHV Bond Transaction,CPT0384,secu,description,contains,võlakiri,,BOND_BUY,1,Active,2024-06-01,,,
TXMP-000055,LHV Dividend Income,CPT0384,secu,type,equals,dividend,,DIV_INCOME,2,Active,2024-06-01,,,
TXMP-000059,Interest Expense (EST),CPT0354,bank,payment_description,contains,intress,,INT_EXPENSE,2,Active,2024-06-01,d_c,equals,D
TXMP-000060,Loan Agreement Payment In,CPT0354,bank,payment_description,contains,laenuleping,,LOAN_PAYMENT,2,Active,2024-06-01,d_c,equals,C
TXMP-000061,Interest Payment Received,SYSTEM,bank,payment_description,contains,Interest payment,,INT_INCOME,3,Active,2024-06-01,d_c,equals,C
TXMP-000062,Interest Expense (Intrest),SYSTEM,bank,payment_description,contains,Intrest,,INT_EXPENSE,3,Active,2024-06-01,d_c,equals,D
TXMP-000063,Return of Interest,SYSTEM,bank,payment_description,contains,Return of interest,,INT_EXPENSE,3,Active,2024-06-01,,,
